Identifier,Series,Canonical SMILES,Smiles,IC50 uM,PIC50
TB-VS12-107,Series A,CCCCCCC#CC1=CN=CC(C(N2CCCN)=NN=C2SCC3=CC=C([N+]([O-])=O)O3)=C1.[HCl].[HCl],CCCCCCC#CC1=CN=CC(C(N2CCCN)=NN=C2SCC3=CC=C([N+]([O-])=O)O3)=C1.[HCl].[HCl],12.67,4.8972233851165585
TB-VS12-108,Series A,CCCCCCC#CC1=CN=CC(C(N2CCO)=NN=C2SCC3=CC=C([N+]([O-])=O)O3)=C1,CCCCCCC#CC1=CN=CC(C(N2CCO)=NN=C2SCC3=CC=C([N+]([O-])=O)O3)=C1,1.322,5.878768544850378
TB-VS12-111,Series A,NCCCN1C(SCC2=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C2)=NN=C1C3=CC(C#CCCCCCC)=CN=C3,NCCCN1C(SCC2=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C2)=NN=C1C3=CC(C#CCCCCCC)=CN=C3,3.19,5.496209316942819
TB-VS12-112,Series A,NCCCN1C(SCC2=CC=C([N+]([O-])=O)O2)=NN=C1C3=CC(C#CCCCCCC)=CN=C3,NCCCN1C(SCC2=CC=C([N+]([O-])=O)O2)=NN=C1C3=CC(C#CCCCCCC)=CN=C3,12.07,4.918292729902651
TB-VS12-113,Series A,NCCCN1C(SCC2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)=NN=C1C3=CC(C#CCCCCCC)=CN=C3,NCCCN1C(SCC2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)=NN=C1C3=CC(C#CCCCCCC)=CN=C3,4.6875,5.329058719264225
TB-VS12-114,non_numeric,CCCCCCC#CC1=CN=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)N2C4CNC4)=C1,CCCCCCC#CC1=CN=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)N2C4CNC4)=C1,,
TB-VS12-115,Series A,CCCCCCC#CC1=CN=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)N2C4CCNCC4)=C1,CCCCCCC#CC1=CN=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)N2C4CCNCC4)=C1,2.56,5.59176003468815
TB-VS12-116,Series A,NCCCN1C(SCC2=CC=C([N+]([O-])=O)C=C2)=NN=C1C3=CC(C#CCCCCCC)=CN=C3,NCCCN1C(SCC2=CC=C([N+]([O-])=O)C=C2)=NN=C1C3=CC(C#CCCCCCC)=CN=C3,19.75,4.704432900037521
TB-VS12-120,Series A,O[C@H]([C@H](O)[C@@H](CN)O1)[C@@H]1OCCN2C(C3=CC(C#CCCCCCCC)=CN=C3)=NN=C2SCC4=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C4,O[C@H]([C@H](O)[C@@H](CN)O1)[C@@H]1OCCN2C(C3=CC(C#CCCCCCCC)=CN=C3)=NN=C2SCC4=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C4,18.85,4.724688645458189
5a,Series A,CCCCCCC#Cc1cncc(c1)c1nnc(n1C)SCc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],CCCCCCC#Cc1cncc(c1)c1nnc(n1C)SCc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],0.34,6.468521083
5b,Series A,CCCCCCC#Cc1cncc(c1)c1nnc(n1C)SCc1ccc(cc1)Cl,CCCCCCC#Cc1cncc(c1)c1nnc(n1C)SCc1ccc(cc1)Cl,5.3,5.27572413
5c,Series A,CCCCCCC#Cc1cncc(c1)c1nnc(n1C)SCc1ccc(cc1)[N+](=O)[O-],CCCCCCC#Cc1cncc(c1)c1nnc(n1C)SCc1ccc(cc1)[N+](=O)[O-],5.9,5.229147988
5f,Series A,CCCCCCC#Cc1cncc(c1)c1nnc(n1C)SCc1ccc(o1)[N+](=O)[O-],CCCCCCC#Cc1cncc(c1)c1nnc(n1C)SCc1ccc(o1)[N+](=O)[O-],0.55,6.259637311
5g,Series A,CCCCCCC#Cc1cncc(c1)c1nnc(n1C)SCc1cc(=O)[nH]c2c1cccc2,CCCCCCC#Cc1cncc(c1)c1nnc(n1C)SCc1cc(=O)[nH]c2c1cccc2,200,3.6989700043360187
5h,Series A,CCCCCCC#Cc1cncc(c1)c1nnc(n1C)SCc1cc(=O)[nH]c(=O)[nH]1,CCCCCCC#Cc1cncc(c1)c1nnc(n1C)SCc1cc(=O)[nH]c(=O)[nH]1,200,3.6989700043360187
5i,Series A,CCCCCCC#Cc1cncc(c1)c1nnc(n1C)SCCCc1cc(=O)[nH]c(=O)[nH]1,CCCCCCC#Cc1cncc(c1)c1nnc(n1C)SCCCc1cc(=O)[nH]c(=O)[nH]1,25.12,4.599980365
8a,Series A,OCCn1c(nnc1c1cncc(c1)C#CCCCCCC)SCc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],OCCn1c(nnc1c1cncc(c1)C#CCCCCCC)SCc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],1.43,5.844663963
8b,Series A,OCCn1c(nnc1c1cncc(c1)C#CCCCCCC)SCc1ccc(cc1)Cl,OCCn1c(nnc1c1cncc(c1)C#CCCCCCC)SCc1ccc(cc1)Cl,49.09,4.309006968
8f,Series A,OCCn1c(nnc1c1cncc(c1)C#CCCCCCC)SCc1ccc(o1)[N+](=O)[O-],OCCn1c(nnc1c1cncc(c1)C#CCCCCCC)SCc1ccc(o1)[N+](=O)[O-],1.32,5.879426069
12a,Series A,NCCCn1c(nnc1c1cncc(c1)C#CCCCCCC)SCc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],NCCCn1c(nnc1c1cncc(c1)C#CCCCCCC)SCc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],3.19,5.496209317
12a.HCl,Series A,Cl[NH2+]CCCn1c(nnc1c1cncc(c1)C#CCCCCCC)SCc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],Cl[NH2+]CCCn1c(nnc1c1cncc(c1)C#CCCCCCC)SCc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],2.93,5.53313238
12b,Series A,NCCCn1c(nnc1c1cncc(c1)C#CCCCCCC)SCc1ccc(cc1)Cl,NCCCn1c(nnc1c1cncc(c1)C#CCCCCCC)SCc1ccc(cc1)Cl,28.51,4.545002783
12c,Series A,NCCCn1c(nnc1c1cncc(c1)C#CCCCCCC)SCc1ccc(cc1)[N+](=O)[O-],NCCCn1c(nnc1c1cncc(c1)C#CCCCCCC)SCc1ccc(cc1)[N+](=O)[O-],19.75,4.7044329
12d,Series A,NCCCn1c(SCc2cc(cc(c2)C(F)(F)F)[N+](=O)[O-])nnc1c1cncc(c1)C#CCCCCCC,NCCCn1c(SCc2cc(cc(c2)C(F)(F)F)[N+](=O)[O-])nnc1c1cncc(c1)C#CCCCCCC,17.31,4.761702932
12e,Series A,NCCCn1c(nnc1c1cncc(c1)C#CCCCCCC)SCc1cc(cc(c1)C(F)(F)F)C(F)(F)F,NCCCn1c(nnc1c1cncc(c1)C#CCCCCCC)SCc1cc(cc(c1)C(F)(F)F)C(F)(F)F,3.12,5.505845406
12f,Series A,NCCCn1c(nnc1c1cncc(c1)C#CCCCCCC)SCc1ccc(o1)[N+](=O)[O-],NCCCn1c(nnc1c1cncc(c1)C#CCCCCCC)SCc1ccc(o1)[N+](=O)[O-],12.67,4.897223385
13,Series A,CCCCCCC#Cc1cncc(c1)c1nnc(n1C1CCNCC1)SCc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],CCCCCCC#Cc1cncc(c1)c1nnc(n1C1CCNCC1)SCc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],2.56,5.591760035
17,Series A,CCCCCCC#Cc1cncc(c1)c1nnc(n1CCO[C@H]1O[C@H]([C@@H]([C@@H]1O)O)CN)SCc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],CCCCCCC#Cc1cncc(c1)c1nnc(n1CCO[C@H]1O[C@H]([C@@H]([C@@H]1O)O)CN)SCc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],18.85,4.724688645
18,Series A,CCCCCCC#Cc1cncc(c1)c1nnc(n1C)SC[C@H]1O[C@H]([C@H]2[C@@H]1OC(O2)(C)C)Cn1ccc(=O)[nH]c1=O,CCCCCCC#Cc1cncc(c1)c1nnc(n1C)SC[C@H]1O[C@H]([C@H]2[C@@H]1OC(O2)(C)C)Cn1ccc(=O)[nH]c1=O,26.45,4.577574324
21,Series A,CCCCCCC#Cc1cncc(c1)c1nnc(n1C)SC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)Cn1ccc(=O)[nH]c1=O,CCCCCCC#Cc1cncc(c1)c1nnc(n1C)SC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)Cn1ccc(=O)[nH]c1=O,97.71,4.010060987
22,Series A,CCCCCCC#Cc1cncc(c1)c1nnc(n1CCO)SC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)Cn1ccc(=O)[nH]c1=O,CCCCCCC#Cc1cncc(c1)c1nnc(n1CCO)SC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)Cn1ccc(=O)[nH]c1=O,196.3,3.7070797
23,Series A,NCCCn1c(SC[C@H]2O[C@H]([C@@H]([C@@H]2O)O)Cn2ccc(=O)[nH]c2=O)nnc1c1cncc(c1)C#CCCCCCC,NCCCn1c(SC[C@H]2O[C@H]([C@@H]([C@@H]2O)O)Cn2ccc(=O)[nH]c2=O)nnc1c1cncc(c1)C#CCCCCCC,200,3.6989700043360187
TB-LCA-1,Series B,ClC1=CC=C(CSC[C@H]([NH3]Cl)C(NC2=CC(C#CCCCCCC)=CN=C2)=O)C=C1,ClC1=CC=C(CSC[C@H]([NH3]Cl)C(NC2=CC(C#CCCCCCC)=CN=C2)=O)C=C1,8.348,5.078417559606583
TB-LCA-2,Series B,ClC1=CC=C(CSC[C@H]([NH3]Cl)C(NC2=CC=C(F)C(F)=C2)=O)C=C1,ClC1=CC=C(CSC[C@H]([NH3]Cl)C(NC2=CC=C(F)C(F)=C2)=O)C=C1,37.12,4.430392032453176
TB-LCA-4,Series B,O=C(NC1=NC2=CC=CC=C2N1)[C@@H](N)CSCC3=CC=C(Cl)C=C3,O=C(NC1=NC2=CC=CC=C2N1)[C@@H](N)CSCC3=CC=C(Cl)C=C3,42.19,4.374790474618119
TB-LCA-7,Series B,COC1=CC=C(CSC[C@H](N)C(NC2=CC(C#CCCCCCC)=CN=C2)=O)C=C1,COC1=CC=C(CSC[C@H](N)C(NC2=CC(C#CCCCCCC)=CN=C2)=O)C=C1,15.28,4.815876645760329
TB-LCA-8,Series B,N[C@H](C(NC1=CC(C#CCCCCCC)=CN=C1)=O)CSCC2=CC=C(C=C2)Cl,N[C@H](C(NC1=CC(C#CCCCCCC)=CN=C1)=O)CSCC2=CC=C(C=C2)Cl,5.774,5.238523220455298
TB-LCA-9,Series B,N[C@@H](CSCC1=CC=C(C=C1)Cl)C(NC2=CC=C(C(F)=C2)F)=O,N[C@@H](CSCC1=CC=C(C=C1)Cl)C(NC2=CC=C(C(F)=C2)F)=O,16.94,4.771086594005312
TB-LCA-11,Series B,O=C(NC12CC3CC4CC(C342)C1)[C@@H](N)CSCC5=CC=C(Cl)C=C5,O=C(NC12CC3CC4CC(C342)C1)[C@@H](N)CSCC5=CC=C(Cl)C=C5,15.38,4.813043664534588
TB-LCA-13,Series B,ClC1=CC=C(CSC[C@H](N)C(NC2=CC=C(N3CCOCC3)C=C2F)=O)C=C1,ClC1=CC=C(CSC[C@H](N)C(NC2=CC=C(N3CCOCC3)C=C2F)=O)C=C1,32.83,4.48372911727066
TB-LCA-15,Series B,ClC1=CC=C(C=C1)CSC[C@@H](C(NC2=CC=C(C=C2)OCCCCCCCCC)=O)N,ClC1=CC=C(C=C1)CSC[C@@H](C(NC2=CC=C(C=C2)OCCCCCCCCC)=O)N,6.674,5.175613797681226
TB-LCA-16,Series B,OC1=CC=C(C=C1)C[C@@H](C(NC2=CC(CCCCCCCC)=CN=C2)=O)N,OC1=CC=C(C=C1)C[C@@H](C(NC2=CC(CCCCCCCC)=CN=C2)=O)N,4.369,5.359617955290432
TB-LCA-17,Series B,O=C([C@H](CC1=CC2=C(C=CC=C2)N1)N)NC3=CC(C#CCCCCCC)=CN=C3,O=C([C@H](CC1=CC2=C(C=CC=C2)N1)N)NC3=CC(C#CCCCCCC)=CN=C3,4.986,5.302247725832245
TB-LCA-19,Series B,N[C@@H](CSCC1=CC=C(Cl)C=C1)C(NC2=C3C=CC=CC3=CC=C2)=O,N[C@@H](CSCC1=CC=C(Cl)C=C1)C(NC2=C3C=CC=CC3=CC=C2)=O,29.26,4.533725678210708
TB-LCA-20,Series B,ClC1=CC=C(CSC[C@H]([NH3]Cl)C(NC(C=C2)=CC=C2C3=CC=CC=C3)=O)C=C1,ClC1=CC=C(CSC[C@H]([NH3]Cl)C(NC(C=C2)=CC=C2C3=CC=CC=C3)=O)C=C1,4.029,5.394802732611622
TB-LCA-21,Series B,N[C@H](C(NC1=CC=CN=C1)=O)CSCC2=CC=C(Cl)C=C2,N[C@H](C(NC1=CC=CN=C1)=O)CSCC2=CC=C(Cl)C=C2,66.04,4.180192935409244
TB-LCA-22,non_numeric,N[C@H](C(NC1=CC=CC=C1)=O)CSCC2=CC=C(Cl)C=C2,N[C@H](C(NC1=CC=CC=C1)=O)CSCC2=CC=C(Cl)C=C2,,
TB-LCA-23,Series B,N[C@H](C(NC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)=O)CSCC2=CC=C(Cl)C=C2,N[C@H](C(NC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)=O)CSCC2=CC=C(Cl)C=C2,26.28,4.580374639112257
TB-LCA-25,Series B,ClC1=CC=C(CSC[C@H](N)C(N(C)C(C=C2)=CC=C2C3=CC=CC=C3)=O)C=C1,ClC1=CC=C(CSC[C@H](N)C(N(C)C(C=C2)=CC=C2C3=CC=CC=C3)=O)C=C1,47.88,4.3198458582656265
TB-LCA-26.2,Series B,O=C(NC1=CC=C(C2=CC=CC=C2)C=C1)[C@@H]([NH3]Cl)CSCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3,O=C(NC1=CC=C(C2=CC=CC=C2)C=C1)[C@@H]([NH3]Cl)CSCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3,90.31,4.044264157722334
TB-LCA-26,Series B,O=C(NC1=CC=C(C2=CC=CC=C2)C=C1)[C@@H](N)CSCC3=CC=C([N+]([O-])=O)C=C3,O=C(NC1=CC=C(C2=CC=CC=C2)C=C1)[C@@H](N)CSCC3=CC=C([N+]([O-])=O)C=C3,23.61,4.626904012921273
TB-LCA-27,Series B,O=C(NC1=CC=C(C2=CC=CC=C2)C=C1)[C@@H]([NH3]Cl)CSCC3=CC=C(C(F)(F)F)C=C3,O=C(NC1=CC=C(C2=CC=CC=C2)C=C1)[C@@H]([NH3]Cl)CSCC3=CC=C(C(F)(F)F)C=C3,8.178,5.0873528937816825
TB-LCA-28,Series B,N[C@H](C(NC1=CC=C(C2=CC=CC=C2)C=C1)=O)CSCC3=CC(F)=CC(F)=C3,N[C@H](C(NC1=CC=C(C2=CC=CC=C2)C=C1)=O)CSCC3=CC(F)=CC(F)=C3,29.62,4.52841494581481
TB-LCA-29,Series B,O=C(NC1=CC(C#CCCCCCC)=CN=C1)C(CC2=CC=C(Cl)C=C2)[NH3]Cl,O=C(NC1=CC(C#CCCCCCC)=CN=C1)C(CC2=CC=C(Cl)C=C2)[NH3]Cl,17.32,4.761452112318672
TB-LCA-30,Series B,O=C(NC1=CC=C(C2=CC=CC=C2)C=C1)[C@@H](N)CC(N3)=CC4=C3C=CC=C4,O=C(NC1=CC=C(C2=CC=CC=C2)C=C1)[C@@H](N)CC(N3)=CC4=C3C=CC=C4,14.45,4.840132152907433
TB-LCA-31,Series B,N[C@@H](CC1=CC=C(O)C=C1)C(NC2=CC=C(C3=CC=CC=C3)C=C2)=O,N[C@@H](CC1=CC=C(O)C=C1)C(NC2=CC=C(C3=CC=CC=C3)C=C2)=O,49.78,4.3029451077274254
TB-LCA-32,Series B,ClC1=CC=C(CSC[C@H](N)C(NC2=CC=C(C3=CN=CC=C3)C=C2)=O)C=C1,ClC1=CC=C(CSC[C@H](N)C(NC2=CC=C(C3=CN=CC=C3)C=C2)=O)C=C1,19.41,4.711974464611638
TB-LCA-33,Series B,ClC1=CC=C(CS(C[C@H](N)C(NC(C=C2)=CC=C2C3=CC=CC=C3)=O)(=O)=O)C=C1,ClC1=CC=C(CS(C[C@H](N)C(NC(C=C2)=CC=C2C3=CC=CC=C3)=O)(=O)=O)C=C1,200.0,3.6989700043360187
TB-LCA-35,Series B,O=C(NC1=CC(C#CCCCCCC)=CN=C1)[C@@H]([NH3]Cl)CC2=CC=CC=C2,O=C(NC1=CC(C#CCCCCCC)=CN=C1)[C@@H]([NH3]Cl)CC2=CC=CC=C2,21.36,4.670398751643481
TB-LCA-36,Series B,N[C@H](C(NCCCCCCC)=O)CSCC1=CC=C(Cl)C=C1,N[C@H](C(NCCCCCCC)=O)CSCC1=CC=C(Cl)C=C1,20.91,4.679645967182328
TB-LCA-37,Series B,ClC1=CC=C(CSC[C@@H]([NH3]Cl)C(NC(C=C2)=CC=C2C3=CC=CC=C3)=O)C=C1,ClC1=CC=C(CSC[C@@H]([NH3]Cl)C(NC(C=C2)=CC=C2C3=CC=CC=C3)=O)C=C1,3.666,5.435807539373802
TB-LCA-38,Series B,O=C(NC1=CC(C#CCCCCCC)=CN=C1)[C@H](N)CSCC2=CC=C(Cl)C=C2,O=C(NC1=CC(C#CCCCCCC)=CN=C1)[C@H](N)CSCC2=CC=C(Cl)C=C2,15.75,4.80271944187438
TB-LCA-1,Series B,N[C@H](C(NC1=CC(C#CCCCCCC)=CN=C1)=O)CSCC2=CC=C(Cl)C=C2.Cl,N[C@H](C(NC1=CC(C#CCCCCCC)=CN=C1)=O)CSCC2=CC=C(Cl)C=C2.Cl,7.45,5.127843727251707
TB-LCA-2,Series B,FC(C(F)=C1)=CC=C1NC([C@H](CSCC2=CC=C(C=C2)Cl)[NH3]Cl)=O,FC(C(F)=C1)=CC=C1NC([C@H](CSCC2=CC=C(C=C2)Cl)[NH3]Cl)=O,37.12,4.430392032453176
TB-LCA-3,Series B,O=C(N[C@H]1CCCCNC1=O)[C@@H]([NH3]Cl)CSCC2=CC=C(Cl)C=C2,O=C(N[C@H]1CCCCNC1=O)[C@@H]([NH3]Cl)CSCC2=CC=C(Cl)C=C2,200.0,3.6989700043360187
TB-LCA-18,non_numeric,O=C(NC1=C2C=CC=CC2=CC=C1)[C@@H]([NH3]Cl)CSCC3=CC=C(Cl)C=C3,O=C(NC1=C2C=CC=CC2=CC=C1)[C@@H]([NH3]Cl)CSCC3=CC=C(Cl)C=C3,,
TB-LCA-34,Series B,ClC1=CC=C(CS(C[C@H](N)C(NC(C=C2)=CC=C2C3=CC=CC=C3)=O)(=O)=O)C=C1,ClC1=CC=C(CS(C[C@H](N)C(NC(C=C2)=CC=C2C3=CC=CC=C3)=O)(=O)=O)C=C1,200.0,3.6989700043360187
TB-LCA-5,Series B,O=C(NC1=CC(C#CCCCCCC)=CN=C1)[C@@H](NC(OC(C)(C)C)=O)CSCC2=CC=C(Cl)C=C2,O=C(NC1=CC(C#CCCCCCC)=CN=C1)[C@@H](NC(OC(C)(C)C)=O)CSCC2=CC=C(Cl)C=C2,100.0,4.0
TB-LCA-6,Series B,COC1=CC=C(CSC[C@H](NC(OC(C)(C)C)=O)C(NC2=CC(C#CCCCCCC)=CN=C2)=O)C=C1,COC1=CC=C(CSC[C@H](NC(OC(C)(C)C)=O)C(NC2=CC(C#CCCCCCC)=CN=C2)=O)C=C1,18.54,4.7318902701915215
TB-LCA-12,Series B,ClC1=CC=C(CSC[C@H](NC(OC(C)(C)C)=O)C(NC2=CC=C(N3CCOCC3)C=C2F)=O)C=C1,ClC1=CC=C(CSC[C@H](NC(OC(C)(C)C)=O)C(NC2=CC=C(N3CCOCC3)C=C2F)=O)C=C1,100.0,4.0
TB-LCA-FP-1,Series B,N[C@H](C(NC1=CC=C(OCCCC#C)C=C1)=O)CSCC2=CC=C(Cl)C=C2,N[C@H](C(NC1=CC=C(OCCCC#C)C=C1)=O)CSCC2=CC=C(Cl)C=C2,12.21,4.913284336055117
ROY-0000173-001,Series C,CCCCCCC#CC1=CN=CC(N2CCC3(CN(C(C4=CC=C5OCOC5=C4)=O)C3)C2)=C1,CCCCCCC#CC1=CN=CC(N2CCC3(CN(C(C4=CC=C5OCOC5=C4)=O)C3)C2)=C1,4.697,5.3281794398167515
ROY-0000174-001,Series C,CCCCCCC#CC1=CN=CC(N2CCC3(CN(C(C(C=C(OCO4)C4=C5)=C5[N+]([O-])=O)=O)C3)C2)=C1,CCCCCCC#CC1=CN=CC(N2CCC3(CN(C(C(C=C(OCO4)C4=C5)=C5[N+]([O-])=O)=O)C3)C2)=C1,9.786,5.00939478857608
ROY-0000220-001,Series C,CCCCCCC#CC1=CN=CC(N2CCC3(CN(C(C4=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C4)=O)C3)C2)=C1,CCCCCCC#CC1=CN=CC(N2CCC3(CN(C(C4=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C4)=O)C3)C2)=C1,0.78125,6.107209969647869
ROY-0000221-001,non_numeric,CCCCCCC#CC1=CN=CC(N2CCC3(CN(C(CCC4=CNC5=C4C=CC=C5)=O)C3)C2)=C1,CCCCCCC#CC1=CN=CC(N2CCC3(CN(C(CCC4=CNC5=C4C=CC=C5)=O)C3)C2)=C1,>200,
ROY-0000175-001,Series C,CC(OC(N(C1)CC21CCN(C3=CC(C#CC4=CC=CC=C4)=CN=C3)C2)=O)(C)C,CC(OC(N(C1)CC21CCN(C3=CC(C#CC4=CC=CC=C4)=CN=C3)C2)=O)(C)C,6.843,5.164753460003689
ROY-0000211-001,Series C,CCCCCCC#CC1=CN=CC(N2CCC3(CN(CC4=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C4)C3)C2)=C1,CCCCCCC#CC1=CN=CC(N2CCC3(CN(CC4=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C4)C3)C2)=C1,1.8,5.7447274948966935
TB-VS12-80,Series D,ClC1=CC=C(CO[C@H](CC2)CN2C3=CC(C#CCCCCCC)=CN=C3)C=C1,ClC1=CC=C(CO[C@H](CC2)CN2C3=CC(C#CCCCCCC)=CN=C3)C=C1,4.679,5.32984695480782
TB-VS12-81,Series D,ClC1=CC=C(CO[C@@H](CC2)CN2C3=CC(C#CCCCCCC)=CN=C3)C=C1,ClC1=CC=C(CO[C@@H](CC2)CN2C3=CC(C#CCCCCCC)=CN=C3)C=C1,7.518,5.123897678622207
TB-VS12-109,Series D,CCCCCCC#CC1=CN=CC(N2C[C@@H](CC2)NC(C3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)=O)=C1,CCCCCCC#CC1=CN=CC(N2C[C@@H](CC2)NC(C3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)=O)=C1,0.7116,6.147764060588113
TB-VS12-110,non_numeric,O=C(N[C@H]1CN(C2=CC(C#CCCCCCC)=CN=C2)CC1)C3=CC=C(F)C=C3,O=C(N[C@H]1CN(C2=CC(C#CCCCCCC)=CN=C2)CC1)C3=CC=C(F)C=C3,,
ROY-0000172-001,non_numeric,FC(OC(C=C1)=CC=C1CO[C@H](CC2)CN2C3=CC(C#CC4=CC=CC=C4)=CN=C3)(F)F,FC(OC(C=C1)=CC=C1CO[C@H](CC2)CN2C3=CC(C#CC4=CC=CC=C4)=CN=C3)(F)F,>200,
ROY-0000223-001,Series D,ClC(C=C1)=CC=C1CO[C@H](CC2)CN2C3=CC(C#CC4=CC=C(OC(F)(F)F)C=C4)=CN=C3,ClC(C=C1)=CC=C1CO[C@H](CC2)CN2C3=CC(C#CC4=CC=C(OC(F)(F)F)C=C4)=CN=C3,5.615,5.250650239402523
ROY-0000222-001,Series D,ClC(C=C1)=CC=C1CO[C@H](CC2)CN2C3=CC(C#CC4=CC=CC=C4)=CN=C3,ClC(C=C1)=CC=C1CO[C@H](CC2)CN2C3=CC(C#CC4=CC=CC=C4)=CN=C3,9.705,5.013004460275618
ROY-0000269,non_numeric,CCCCCCC#CC1=CN=CC(N2CC[C@@H](OCC3=CC=C(OC(F)(F)F)C=C3)C2)=C1,CCCCCCC#CC1=CN=CC(N2CC[C@@H](OCC3=CC=C(OC(F)(F)F)C=C3)C2)=C1,> 200,
ROY-0000308,Series E,FC1=CC=C(C2=CC(N3CC4(CC3)CN(C(OC(C)(C)C)=O)C4)=CN=C2)C=C1,FC1=CC=C(C2=CC(N3CC4(CC3)CN(C(OC(C)(C)C)=O)C4)=CN=C2)C=C1,17.8,
ROY-0000307,Series E,BrC1=CC=CC(N2CCC3(CN(C(OC(C)(C)C)=O)C3)C2)=N1,BrC1=CC=CC(N2CCC3(CN(C(OC(C)(C)C)=O)C3)C2)=N1,63.6,
ROY-0000287,Series E,CCCCCCOC1CN(C2=CN=CC(N3CCC4(CN(C(OC(C)(C)C)=O)C4)C3)=C2)C1,CCCCCCOC1CN(C2=CN=CC(N3CCC4(CN(C(OC(C)(C)C)=O)C4)C3)=C2)C1,6.07,
ROY-0000286,Series E,CC(OC(N1CC2(C1)CCN(C1=CC(N3CC(OCCCC4=CC=CC=C4)C3)=CN=C1)C2)=O)(C)C,CC(OC(N1CC2(C1)CCN(C1=CC(N3CC(OCCCC4=CC=CC=C4)C3)=CN=C1)C2)=O)(C)C,12.2,
ROY-0000277,non_numeric,O=C(N1CC2(C1)CCN(C1=CC(C#CC3=CC=CC=C3)=CN=C1)C2)C1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1,O=C(N1CC2(C1)CCN(C1=CC(C#CC3=CC=CC=C3)=CN=C1)C2)C1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1,< 0.391,
ROY-0000275,Series E,BrC1=CN=CC(N2CCC3(CN(C(OC(C)(C)C)=O)C3)C2)=C1,BrC1=CN=CC(N2CCC3(CN(C(OC(C)(C)C)=O)C3)C2)=C1,108,
ROY-0000268,Series E,[H]N1CC2(C1)CCN(C1=CC(C#CC3=CC=CC=C3)=CN=C1)C2,[H]N1CC2(C1)CCN(C1=CC(C#CC3=CC=CC=C3)=CN=C1)C2,17,
