Identifier,Series,Canonical SMILES,Canonical SMILES.1,IC50 uM,PIC50,Series_Name,Series_Code,Valid_SMILES,SMILES_Error,Clean_SMILES,Series_Label,Canonical_SMILES
ROY-0000173-001,C,CCCCCCC#CC1=CN=CC(N2CCC3(CN(C(C4=CC=C5OCOC5=C4)=O)C3)C2)=C1,CCCCCCC#CC1=CN=CC(N2CCC3(CN(C(C4=CC=C5OCOC5=C4)=O)C3)C2)=C1,4.697,5.3281794398167515,Series-C-Spiro,C,True,,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,Series C,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1
ROY-0000174-001,C,CCCCCCC#CC1=CN=CC(N2CCC3(CN(C(C(C=C(OCO4)C4=C5)=C5[N+]([O-])=O)=O)C3)C2)=C1,CCCCCCC#CC1=CN=CC(N2CCC3(CN(C(C(C=C(OCO4)C4=C5)=C5[N+]([O-])=O)=O)C3)C2)=C1,9.786,5.00939478857608,Series-C-Spiro,C,True,,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,Series C,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1
ROY-0000220-001,C,CCCCCCC#CC1=CN=CC(N2CCC3(CN(C(C4=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C4)=O)C3)C2)=C1,CCCCCCC#CC1=CN=CC(N2CCC3(CN(C(C4=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C4)=O)C3)C2)=C1,0.78125,6.107209969647869,Series-C-Spiro,C,True,,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,Series C,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1
ROY-0000221-001,C,CCCCCCC#CC1=CN=CC(N2CCC3(CN(C(CCC4=CNC5=C4C=CC=C5)=O)C3)C2)=C1,CCCCCCC#CC1=CN=CC(N2CCC3(CN(C(CCC4=CNC5=C4C=CC=C5)=O)C3)C2)=C1,>200,,Series-C-Spiro,C,True,,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,Series C,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1
ROY-0000175-001,C,CC(OC(N(C1)CC21CCN(C3=CC(C#CC4=CC=CC=C4)=CN=C3)C2)=O)(C)C,CC(OC(N(C1)CC21CCN(C3=CC(C#CC4=CC=CC=C4)=CN=C3)C2)=O)(C)C,6.843,5.164753460003689,Series-C-Spiro,C,True,,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,Series C,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1
ROY-0000211-001,C,CCCCCCC#CC1=CN=CC(N2CCC3(CN(CC4=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C4)C3)C2)=C1,CCCCCCC#CC1=CN=CC(N2CCC3(CN(CC4=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C4)C3)C2)=C1,1.8,5.7447274948966935,Series-C-Spiro,C,True,,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,Series C,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1
ROY-0000308,C2,FC1=CC=C(C2=CC(N3CC4(CC3)CN(C(OC(C)(C)C)=O)C4)=CN=C2)C=C1,FC1=CC=C(C2=CC(N3CC4(CC3)CN(C(OC(C)(C)C)=O)C4)=CN=C2)C=C1,17.8,,Series-E-Spiro,E,True,,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,Series E,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1
ROY-0000307,C2,BrC1=CC=CC(N2CCC3(CN(C(OC(C)(C)C)=O)C3)C2)=N1,BrC1=CC=CC(N2CCC3(CN(C(OC(C)(C)C)=O)C3)C2)=N1,63.6,,Series-E-Spiro,E,True,,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,Series E,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1
ROY-0000287,C2,CCCCCCOC1CN(C2=CN=CC(N3CCC4(CN(C(OC(C)(C)C)=O)C4)C3)=C2)C1,CCCCCCOC1CN(C2=CN=CC(N3CCC4(CN(C(OC(C)(C)C)=O)C4)C3)=C2)C1,6.07,,Series-E-Spiro,E,True,,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,Series E,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1
ROY-0000286,C2,CC(OC(N1CC2(C1)CCN(C1=CC(N3CC(OCCCC4=CC=CC=C4)C3)=CN=C1)C2)=O)(C)C,CC(OC(N1CC2(C1)CCN(C1=CC(N3CC(OCCCC4=CC=CC=C4)C3)=CN=C1)C2)=O)(C)C,12.2,,Series-E-Spiro,E,True,,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,Series E,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1
ROY-0000277,C2,O=C(N1CC2(C1)CCN(C1=CC(C#CC3=CC=CC=C3)=CN=C1)C2)C1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1,O=C(N1CC2(C1)CCN(C1=CC(C#CC3=CC=CC=C3)=CN=C1)C2)C1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1,< 0.391,,Series-E-Spiro,E,True,,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,Series E,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1
ROY-0000275,C2,BrC1=CN=CC(N2CCC3(CN(C(OC(C)(C)C)=O)C3)C2)=C1,BrC1=CN=CC(N2CCC3(CN(C(OC(C)(C)C)=O)C3)C2)=C1,108,,Series-E-Spiro,E,True,,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,Series E,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1
ROY-0000268,C2,[H]N1CC2(C1)CCN(C1=CC(C#CC3=CC=CC=C3)=CN=C1)C2,[H]N1CC2(C1)CCN(C1=CC(C#CC3=CC=CC=C3)=CN=C1)C2,17,,Series-E-Spiro,E,True,,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,Series E,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1
